author,paragraphs,title,id,dynasty,genre,tags,notes,rhythmic,prologue,content
蔡薿,雲藏北固山頭寺，烟鎖南徐水際樓。,句,cdf3998c-4e6b-4dd4-a51e-3ee67799a07e,宋代,诗,,,,,"云藏北固山头寺,烟锁南徐水际楼."
孫應時,"劉侯元祐家，高標振流俗。
益州西門外，勝日事幽矚。
襟期得佳士，命駕不待促。
壺觴傍水石，談笑滿林屋。
經行舊臺苑，蕪沒長禾菽。
長吟何激烈，遠思脫羈束。
遥追七賢社，不負千鍾淥。
詩囊寄同幕，足音到空谷。
明月散昏埃，清風濯炎溽。
壯游憶子美，感遇悲伯玉。
功名垂耳驥，歲月長饑鵠。
此事置勿言，時情鬭蠻觸。",和刘师文饮城西见怀,e8a06535-8098-400d-992a-53d6126f23be,宋代,诗,,,,,"刘侯元祐家,高标振流俗. 益州西门外,胜日事幽瞩. 襟期得佳士,命驾不待促. 壶觞傍水石,谈笑满林屋. 经行旧台苑,芜没长禾菽. 长吟何激烈,远思脱羁束. 遥追七贤社,不负千钟渌. 诗囊寄同幕,足音到空谷. 明月散昏埃,清风濯炎溽. 壮游忆子美,感遇悲伯玉. 功名垂耳骥,岁月长饥鹄. 此事置勿言,时情鬭蛮触."
衛宗武,"碑銘細讀識前人，貽後無非舊典刑。
宦業傳家守清白，儒科繼祖播芳馨。
縶駒共歎淹場藿，鳴鹿終當歌野芩。
千古斯文應不泯，待將辭藻掞天庭。",和王总干韵,3264ce70-7dfa-4ed7-a838-f04c0439b786,宋代,诗,,,,,"碑铭细读识前人,贻后无非旧典刑. 宦业传家守清白,儒科继祖播芳馨. 絷驹共叹淹场藿,鸣鹿终当歌野芩. 千古斯文应不泯,待将辞藻掞天庭."
吳泳,"鷹鸇好彈擊，自謂居使之。
鳳凰不鷙搏，羣狡亦莫欺。
但使德意多，何用風采爲。
西臺十六州，人自春熙熙。",寿范漕 其四,3a9d1ffd-f5fe-4bf1-8e0c-fb3970d28f30,宋代,诗,,,,,"鹰鹯好弹击,自谓居使之. 凤凰不鸷搏,群狡亦莫欺. 但使德意多,何用风采为. 西台十六州,人自春熙熙."
釋文珦,"閒身孰能鞿，蕭散隨所欲。
涼風入芒屨，緩步秋塘曲。
清波淡無涯，于以滌心目。
魚鳥亦忘情，何如在濠濮。",闲身 其一,6166f39c-4e82-49e1-8aff-b26f328f8b09,宋代,诗,,,,,"闲身孰能鞿,萧散随所欲. 凉风入芒屦,缓步秋塘曲. 清波淡无涯,于以涤心目. 鱼鸟亦忘情,何如在濠濮."
曹勛,"行年以禮古猶今，况已華顛雪滿簪。
五子政須俱治産，兩疏寧復較揮金。
稍攄雲水安閑計，得展江湖漫浪心。
一笑相逢慰岑寂，更煩擊節發清吟。",和高路分见赠二首 其一,1e3c6e5e-1c93-4a81-b196-0eb342590c46,宋代,诗,,,,,"行年以礼古犹今,况已华颠雪满簪. 五子政须俱治产,两疏宁复较挥金. 稍摅云水安闲计,得展江湖漫浪心. 一笑相逢慰岑寂,更烦击节发清吟."
王之道,"須信桃源路易迷，野人遥指過山西。
由來石室非仙窟，漫向雲中覔舊蹊。",游毛公洞六首 其三,0d269f45-cb07-432f-aa31-6e9681b6666a,宋代,诗,,,,,"须信桃源路易迷,野人遥指过山西. 由来石室非仙窟,漫向云中覔旧蹊."
方回,"萬事心空口亦箝，如何感事氣猶炎。
落花滿硯慵磨墨，乳燕歸梁急捲簾。
詩句妄希敲月賈，郡符深愧釣灘嚴。
千愁萬恨都消處，笑指鄰樓一酒帘。",春半久雨走笔五首 其四,4e9ea91f-b72e-4a22-b02b-29c9b8a093d0,宋代,诗,,,,,"万事心空口亦箝,如何感事气犹炎. 落花满砚慵磨墨,乳燕归梁急卷帘. 诗句妄希敲月贾,郡符深愧钓滩严. 千愁万恨都消处,笑指邻楼一酒帘."
釋凈曇,"本自深山卧白雲，偶然來此寄閑身。
莫來問我禪兼道，我是吃飯屙屎人。",偈,71cb6b52-eb3b-4c1b-a5b2-07837d3081e6,宋代,诗,,,,,"本自深山卧白云,偶然来此寄闲身. 莫来问我禅兼道,我是吃饭屙屎人."
呂本中,"一别又經月，欲来渾未期。
寧知萬卷讀，難療十年饑。
長物新添女，生涯舊有詩。
更傷新况味，不報老親知。",与宁陵叔弟别后有怀兼寄赵才仲二首 其一,a349e2b7-45c6-4d88-b697-983eed1d5583,宋代,诗,,,,,"一别又经月,欲来浑未期. 宁知万卷读,难疗十年饥. 长物新添女,生涯旧有诗. 更伤新况味,不报老亲知."
